"13.03.2025","12.855,99","12.739,00","12.895,36","12.722,00","32,88M","0,41%"
"12.03.2025","12.804,00","12.944,80","12.964,30","12.708,20","139,43M","-0,57%"
"11.03.2025","12.877,30","13.070,10","13.138,00","12.840,90","173,67M","-1,57%"
"10.03.2025","13.082,70","13.262,40","13.291,30","13.050,40","164,74M","-1,32%"
"07.03.2025","13.257,10","13.142,90","13.291,30","13.114,70","134,51M","0,17%"
"06.03.2025","13.234,20","13.274,00","13.319,60","13.099,90","176,62M","0,15%"
"05.03.2025","13.214,00","13.230,20","13.348,20","13.206,40","177,35M","1,40%"
"04.03.2025","13.031,70","13.248,20","13.282,00","12.997,10","195,20M","-2,55%"
"03.03.2025","13.373,10","13.349,30","13.446,40","13.218,70","153,78M","0,19%"
"28.02.2025","13.347,30","13.240,20","13.347,30","13.215,70","251,58M","0,58%"
"27.02.2025","13.270,60","13.221,40","13.316,70","13.178,00","159,41M","-0,46%"
"26.02.2025","13.332,00","13.130,80","13.339,70","13.126,90","125,56M","1,64%"
"25.02.2025","13.116,80","12.965,10","13.219,40","12.960,80","150,76M","0,80%"
"24.02.2025","13.012,90","12.970,60","13.052,00","12.927,20","120,80M","0,47%"
"21.02.2025","12.952,00","12.952,10","12.987,90","12.894,60","125,14M","-0,12%"
"20.02.2025","12.967,10","12.927,90","13.026,30","12.918,50","127,11M","0,29%"
"19.02.2025","12.929,40","13.103,70","13.157,30","12.914,20","131,03M","-1,63%"
"18.02.2025","13.143,90","13.026,60","13.158,60","13.014,90","127,41M","0,98%"
"17.02.2025","13.016,90","12.942,20","13.033,70","12.942,00","98,46M","0,47%"
"14.02.2025","12.956,00","12.909,50","12.984,60","12.878,90","123,29M","0,15%"
"13.02.2025","12.936,30","12.964,20","12.974,90","12.882,40","123,54M","0,19%"
"12.02.2025","12.911,50","12.816,70","12.919,90","12.810,10","152,20M","1,07%"
"11.02.2025","12.774,80","12.696,10","12.778,30","12.680,90","132,44M","0,52%"
"10.02.2025","12.708,80","12.681,20","12.739,30","12.664,60","104,17M","0,16%"
"07.02.2025","12.688,90","12.740,90","12.775,60","12.672,60","129,94M","-0,33%"
"06.02.2025","12.731,00","12.576,50","12.743,70","12.574,30","182,98M","1,55%"
"05.02.2025","12.536,70","12.422,00","12.536,70","12.420,30","189,28M","1,32%"
"04.02.2025","12.372,80","12.214,20","12.388,50","12.173,90","121,12M","1,37%"
"03.02.2025","12.205,80","12.114,20","12.264,80","12.101,30","147,69M","-1,32%"
"31.01.2025","12.368,90","12.450,50","12.465,60","12.357,80","107,14M","-0,41%"
"30.01.2025","12.419,60","12.330,20","12.424,40","12.326,20","122,51M","1,08%"
"29.01.2025","12.286,50","12.200,30","12.290,90","12.197,30","123,73M","1,09%"
"28.01.2025","12.154,20","11.983,50","12.183,00","11.975,00","102,21M","1,31%"
"27.01.2025","11.997,10","11.887,50","12.032,90","11.882,30","105,75M","0,12%"
"24.01.2025","11.982,60","12.040,20","12.050,30","11.933,30","105,56M","-0,07%"
"23.01.2025","11.991,50","11.873,80","12.001,30","11.860,60","121,48M","0,92%"
"22.01.2025","11.882,70","11.932,90","11.963,70","11.843,60","119,10M","-0,37%"
"21.01.2025","11.927,40","11.884,70","11.934,30","11.851,30","98,75M","-0,14%"
"20.01.2025","11.943,60","11.921,10","11.991,50","11.905,30","135,78M","0,23%"
"17.01.2025","11.916,30","11.883,10","11.940,80","11.873,50","120,72M","0,64%"
"16.01.2025","11.840,60","11.971,70","11.973,30","11.801,20","118,29M","-0,49%"
"15.01.2025","11.898,50","11.788,80","11.923,50","11.750,90","124,47M","1,25%"
"14.01.2025","11.752,10","11.746,00","11.797,20","11.721,50","120,30M","0,55%"
"13.01.2025","11.688,20","11.662,50","11.707,50","11.637,00","109,07M","-0,28%"
"10.01.2025","11.720,90","11.862,50","11.877,20","11.703,80","133,30M","-1,50%"
"09.01.2025","11.899,30","11.756,20","11.904,20","11.753,80","97,93M","0,86%"
"08.01.2025","11.798,10","11.799,90","11.871,70","11.709,40","123,03M","-0,12%"
"07.01.2025","11.811,90","11.797,10","11.866,60","11.724,60","115,31M","0,03%"
"06.01.2025","11.808,20","11.693,00","11.808,20","11.613,70","108,99M","1,34%"
"03.01.2025","11.651,60","11.682,90","11.701,80","11.635,50","71,18M","-0,22%"
"02.01.2025","11.676,90","11.610,90","11.676,90","11.456,20","105,38M","0,71%"
"31.12.2024","11.595,00","11.530,00","11.613,40","11.525,40","47,63M","0,50%"
"30.12.2024","11.536,80","11.478,40","11.600,40","11.470,80","85,85M","0,05%"
"27.12.2024","11.531,60","11.453,00","11.531,60","11.421,90","78,83M","0,50%"
"25.12.2024","11.473,90","11.470,00","11.485,70","11.446,20","30,48M","0,00%"
"24.12.2024","11.473,90","11.470,00","11.485,70","11.446,20","30,48M","0,33%"
"23.12.2024","11.435,70","11.462,40","11.474,90","11.399,10","74,79M","-0,28%"
"20.12.2024","11.467,30","11.373,70","11.489,20","11.310,50","246,52M","0,24%"
"19.12.2024","11.439,90","11.423,00","11.481,40","11.401,70","138,52M","-1,53%"
"18.12.2024","11.617,90","11.599,40","11.669,60","11.558,70","101,93M","0,26%"
"17.12.2024","11.588,10","11.712,60","11.738,50","11.588,10","138,71M","-1,62%"
"16.12.2024","11.778,60","11.733,80","11.794,20","11.721,40","104,56M","0,23%"
"13.12.2024","11.752,10","11.768,10","11.857,60","11.744,30","95,01M","-0,11%"
"12.12.2024","11.764,80","11.778,10","11.819,30","11.741,80","122,24M","-0,21%"
"11.12.2024","11.789,30","11.944,90","11.950,60","11.771,90","106,11M","-1,47%"
"10.12.2024","11.965,50","11.981,80","12.021,90","11.965,50","92,53M","-0,38%"
"09.12.2024","12.011,50","12.091,40","12.114,70","11.999,40","88,30M","-0,50%"
"06.12.2024","12.072,00","12.106,40","12.153,60","12.059,00","83,93M","-0,39%"
"05.12.2024","12.118,70","11.939,20","12.128,80","11.939,10","143,78M","1,57%"
"04.12.2024","11.931,60","11.890,30","11.975,90","11.890,10","99,57M","0,49%"
"03.12.2024","11.873,60","11.743,90","11.889,20","11.742,40","98,39M","1,18%"
"02.12.2024","11.735,30","11.581,40","11.785,00","11.577,80","92,36M","0,81%"
"29.11.2024","11.641,30","11.563,40","11.657,10","11.531,00","109,06M","0,26%"
"28.11.2024","11.610,80","11.615,70","11.656,90","11.600,70","79,73M","0,27%"
"27.11.2024","11.579,50","11.596,00","11.605,00","11.486,10","109,15M","-0,33%"
"26.11.2024","11.617,90","11.619,80","11.662,70","11.575,00","106,15M","-0,80%"
"25.11.2024","11.711,80","11.732,70","11.767,60","11.679,60","251,67M","0,47%"
"22.11.2024","11.656,60","11.633,70","11.674,00","11.520,90","158,60M","0,39%"
"21.11.2024","11.611,70","11.592,90","11.631,70","11.513,80","100,85M","0,19%"
"20.11.2024","11.589,50","11.643,30","11.720,70","11.548,60","105,32M","0,01%"
"19.11.2024","11.588,40","11.672,60","11.677,00","11.428,00","135,96M","-0,74%"
"18.11.2024","11.674,80","11.640,80","11.674,80","11.591,80","94,91M","0,33%"
"15.11.2024","11.635,90","11.478,80","11.664,60","11.472,00","125,50M","0,97%"
"14.11.2024","11.524,30","11.403,50","11.536,20","11.369,00","103,80M","1,29%"
"13.11.2024","11.377,10","11.361,20","11.442,40","11.295,00","107,40M","-0,05%"
"12.11.2024","11.382,60","11.475,40","11.550,60","11.378,90","119,02M","-1,85%"
"11.11.2024","11.597,30","11.644,00","11.667,70","11.593,00","98,36M","0,40%"
"08.11.2024","11.551,60","11.552,30","11.617,50","11.515,60","162,90M","-0,16%"
"07.11.2024","11.570,10","11.537,30","11.623,00","11.512,60","162,86M","0,65%"
"06.11.2024","11.495,30","11.779,40","11.794,70","11.461,20","215,40M","-2,90%"
"05.11.2024","11.839,20","11.779,50","11.847,40","11.769,70","106,57M","0,29%"
"04.11.2024","11.805,10","11.823,20","11.892,10","11.805,10","118,54M","-0,32%"
"01.11.2024","11.843,00","11.671,90","11.851,00","11.670,60","116,08M","1,46%"
"31.10.2024","11.672,60","11.640,30","11.717,30","11.615,40","152,93M","-0,36%"
"30.10.2024","11.715,00","11.748,50","11.754,50","11.634,10","125,77M","-0,68%"
"29.10.2024","11.795,30","11.959,00","11.962,50","11.786,50","131,02M","-0,91%"
"28.10.2024","11.904,00","11.863,90","11.918,50","11.817,20","90,06M","0,77%"
"25.10.2024","11.812,50","11.831,50","11.870,00","11.782,20","86,78M","-0,23%"
"24.10.2024","11.839,80","11.859,80","11.925,40","11.839,20","86,01M","-0,21%"
"23.10.2024","11.865,20","11.834,50","11.887,10","11.808,10","85,37M","0,27%"
"22.10.2024","11.832,70","11.836,00","11.840,20","11.682,30","94,83M","-0,07%"
"21.10.2024","11.841,10","11.887,90","11.932,10","11.826,60","84,30M","-0,71%"
"18.10.2024","11.925,20","11.871,90","11.934,90","11.821,60","135,86M","0,17%"
"17.10.2024","11.904,50","11.999,30","12.037,90","11.904,50","95,91M","-0,77%"
"16.10.2024","11.996,70","11.906,50","12.024,10","11.897,50","106,35M","0,56%"
"15.10.2024","11.930,20","11.884,40","11.962,20","11.864,00","113,97M","0,67%"
"14.10.2024","11.850,90","11.714,40","11.850,90","11.712,10","76,11M","1,12%"
"11.10.2024","11.720,00","11.647,60","11.729,30","11.636,70","73,63M","0,54%"
"10.10.2024","11.656,70","11.731,40","11.769,60","11.589,00","93,71M","-0,72%"
"09.10.2024","11.741,50","11.729,80","11.745,50","11.670,50","70,81M","0,06%"
"08.10.2024","11.734,70","11.637,90","11.734,70","11.606,00","90,59M","0,15%"
"07.10.2024","11.717,50","11.707,60","11.781,20","11.655,40","111,40M","0,50%"
"04.10.2024","11.659,20","11.615,20","11.668,40","11.594,40","131,35M","0,35%"
"03.10.2024","11.618,00","11.591,70","11.664,30","11.563,80","112,48M","0,07%"
"02.10.2024","11.609,80","11.656,50","11.675,50","11.570,40","133,89M","-0,55%"
"01.10.2024","11.673,50","11.891,90","11.897,60","11.625,80","177,88M","-1,72%"
"30.09.2024","11.877,30","11.929,00","11.971,80","11.876,00","128,53M","-0,76%"
"27.09.2024","11.967,90","11.933,30","12.004,60","11.933,00","129,70M","0,12%"
"26.09.2024","11.953,20","11.879,00","11.975,80","11.875,50","125,01M","1,36%"
"25.09.2024","11.792,60","11.777,40","11.856,90","11.766,30","81,76M","-0,38%"
"24.09.2024","11.837,00","11.851,00","11.867,00","11.759,50","86,97M","0,33%"
"23.09.2024","11.797,90","11.761,00","11.836,30","11.721,00","97,74M","0,38%"
"20.09.2024","11.753,30","11.751,60","11.826,70","11.747,90","307,52M","-0,21%"
"19.09.2024","11.778,10","11.799,60","11.808,20","11.710,00","129,91M","0,80%"
"18.09.2024","11.684,70","11.699,20","11.720,20","11.664,30","96,28M","-0,16%"
"17.09.2024","11.703,40","11.621,90","11.753,90","11.620,70","124,05M","1,06%"
"16.09.2024","11.581,00","11.518,20","11.592,50","11.510,00","81,42M","0,35%"
"13.09.2024","11.540,20","11.429,50","11.569,10","11.418,90","109,31M","1,23%"
"12.09.2024","11.400,20","11.397,30","11.445,90","11.336,90","101,21M","1,08%"
"11.09.2024","11.278,90","11.249,10","11.334,90","11.221,70","97,78M","0,67%"
"10.09.2024","11.203,50","11.264,20","11.369,00","11.177,00","95,94M","-0,61%"
"09.09.2024","11.272,80","11.222,10","11.295,00","11.214,50","76,64M","0,89%"
"06.09.2024","11.173,00","11.238,40","11.329,90","11.157,20","108,70M","-0,89%"
"05.09.2024","11.273,50","11.166,80","11.317,30","11.152,20","96,55M","0,53%"
"04.09.2024","11.213,90","11.149,30","11.238,30","11.138,80","110,56M","-0,58%"
"03.09.2024","11.279,20","11.401,10","11.429,40","11.257,50","100,57M","-1,02%"
"02.09.2024","11.395,30","11.395,30","11.422,40","11.337,50","71,11M","-0,06%"
"30.08.2024","11.401,90","11.372,70","11.441,80","11.371,60","199,32M","0,38%"
"29.08.2024","11.358,60","11.334,40","11.398,80","11.326,40","77,35M","0,23%"
"28.08.2024","11.332,00","11.351,20","11.375,50","11.308,10","78,99M","0,05%"
"27.08.2024","11.326,90","11.272,00","11.328,10","11.266,70","96,01M","0,55%"
"26.08.2024","11.265,50","11.261,20","11.301,90","11.239,60","60,32M","-0,11%"
"23.08.2024","11.278,10","11.183,00","11.285,20","11.178,70","76,13M","1,09%"
"22.08.2024","11.156,30","11.110,40","11.207,50","11.107,40","73,24M","0,37%"
"21.08.2024","11.114,90","11.080,80","11.127,20","11.066,30","66,68M","0,24%"
"20.08.2024","11.087,80","11.130,50","11.151,90","11.056,50","68,43M","-0,13%"
"19.08.2024","11.102,50","10.968,80","11.112,40","10.966,90","76,90M","1,40%"
"16.08.2024","10.949,70","10.904,00","10.961,60","10.891,70","68,79M","0,59%"
"15.08.2024","10.885,60","10.786,20","10.889,00","10.744,60","77,13M","1,23%"
"14.08.2024","10.753,00","10.768,80","10.778,00","10.720,00","56,77M","0,27%"
"13.08.2024","10.723,80","10.680,50","10.730,70","10.645,70","67,60M","0,73%"
"12.08.2024","10.646,20","10.681,10","10.714,40","10.611,40","61,52M","0,07%"
"09.08.2024","10.638,50","10.600,50","10.687,70","10.571,40","63,17M","0,76%"
"08.08.2024","10.558,00","10.521,30","10.577,30","10.445,70","78,72M","-0,39%"
"07.08.2024","10.599,00","10.481,00","10.632,60","10.413,70","126,39M","2,01%"
"06.08.2024","10.390,50","10.449,90","10.488,60","10.308,90","133,07M","-0,32%"
"05.08.2024","10.423,40","10.407,60","10.479,50","10.298,70","206,60M","-2,34%"
"02.08.2024","10.672,90","10.763,30","10.841,10","10.641,80","187,82M","-1,67%"
"01.08.2024","10.854,30","11.050,00","11.061,20","10.822,10","134,96M","-1,90%"
"31.07.2024","11.065,00","11.222,70","11.232,90","11.026,80","156,90M","-1,23%"
"30.07.2024","11.202,60","11.131,00","11.226,20","11.123,90","98,25M","0,76%"
"29.07.2024","11.117,80","11.224,40","11.254,20","11.089,70","76,50M","-0,43%"
"26.07.2024","11.165,90","11.102,50","11.177,60","11.068,70","86,56M","0,18%"
"25.07.2024","11.145,60","11.132,70","11.158,10","11.012,00","120,03M","-0,58%"
"24.07.2024","11.210,10","11.170,80","11.245,50","11.154,40","128,81M","-0,02%"
"23.07.2024","11.212,70","11.154,30","11.221,80","11.097,50","101,47M","0,62%"
"22.07.2024","11.143,80","11.146,60","11.201,80","11.103,70","117,99M","0,51%"
"19.07.2024","11.087,50","11.104,50","11.144,60","11.051,10","126,06M","-0,54%"
"18.07.2024","11.147,50","11.142,50","11.221,10","11.124,40","99,68M","0,38%"
"17.07.2024","11.105,20","11.076,90","11.137,30","11.015,80","87,45M","0,13%"
"16.07.2024","11.090,50","11.079,80","11.104,90","11.026,50","86,48M","-0,47%"
"15.07.2024","11.143,00","11.225,00","11.225,90","11.143,00","82,09M","-0,96%"
"12.07.2024","11.250,60","11.192,80","11.264,80","11.178,60","86,44M","0,72%"
"11.07.2024","11.170,00","11.112,80","11.195,80","11.048,60","111,90M","0,89%"
"10.07.2024","11.071,60","10.927,00","11.071,60","10.902,20","109,69M","1,59%"
"09.07.2024","10.898,80","10.991,00","10.992,90","10.876,80","104,09M","-1,12%"
"08.07.2024","11.022,10","11.002,40","11.108,00","10.977,70","126,98M","-0,01%"
"05.07.2024","11.023,50","11.081,00","11.100,90","10.957,40","92,71M","-0,39%"
"04.07.2024","11.066,30","11.015,10","11.074,20","11.014,20","89,57M","0,09%"
"03.07.2024","11.056,80","10.974,60","11.061,40","10.945,20","102,60M","1,32%"
"02.07.2024","10.912,80","10.980,70","10.984,10","10.837,40","108,68M","-1,30%"
"01.07.2024","11.057,00","11.086,10","11.141,20","11.010,90","115,36M","1,04%"
"28.06.2024","10.943,70","10.989,20","11.000,20","10.913,00","119,33M","-0,07%"
"27.06.2024","10.951,50","11.014,00","11.018,90","10.930,90","100,88M","-0,72%"
"26.06.2024","11.030,50","11.154,00","11.170,80","10.985,80","98,07M","-0,80%"
"25.06.2024","11.118,90","11.190,20","11.190,40","11.068,70","94,46M","-0,48%"
"24.06.2024","11.172,10","11.051,10","11.182,60","11.040,10","98,20M","1,27%"
"21.06.2024","11.032,30","11.160,50","11.161,60","10.969,20","271,06M","-1,15%"
"20.06.2024","11.160,50","11.067,60","11.166,40","11.041,50","93,10M","0,94%"
"19.06.2024","11.056,40","11.073,50","11.095,40","11.033,20","103,71M","-0,10%"
"18.06.2024","11.067,70","11.008,90","11.071,10","10.955,80","104,53M","0,99%"
"17.06.2024","10.959,50","11.041,30","11.082,60","10.881,50","117,34M","-0,30%"
"14.06.2024","10.992,30","11.063,00","11.078,10","10.874,10","214,02M","-0,67%"
"13.06.2024","11.066,10","11.213,90","11.241,20","11.049,10","150,31M","-1,59%"
"12.06.2024","11.245,40","11.209,90","11.273,90","11.167,00","138,54M","0,63%"
"11.06.2024","11.175,50","11.376,50","11.378,20","11.113,60","132,15M","-1,60%"
"10.06.2024","11.357,20","11.374,60","11.375,30","11.286,90","104,80M","-0,42%"
"07.06.2024","11.404,90","11.448,20","11.469,90","11.350,70","119,98M","-0,34%"
"06.06.2024","11.444,00","11.386,00","11.450,90","11.357,70","108,48M","0,80%"
"05.06.2024","11.353,10","11.380,30","11.412,40","11.323,60","119,49M","0,59%"
"04.06.2024","11.286,40","11.385,80","11.402,20","11.213,20","198,26M","-0,97%"
"03.06.2024","11.397,20","11.408,40","11.452,90","11.378,00","128,80M","0,66%"
"31.05.2024","11.322,00","11.353,00","11.361,20","11.278,60","714,44M","-0,14%"
"30.05.2024","11.338,20","11.126,50","11.350,90","11.125,30","127,54M","1,73%"
"29.05.2024","11.145,10","11.239,70","11.260,90","11.135,00","121,73M","-1,16%"
"28.05.2024","11.276,00","11.337,90","11.355,10","11.240,00","96,44M","-0,44%"
"27.05.2024","11.325,50","11.260,00","11.325,50","11.248,90","69,18M","0,71%"
"24.05.2024","11.246,00","11.235,90","11.261,60","11.169,20","110,21M","-0,58%"
"23.05.2024","11.311,10","11.332,80","11.360,20","11.277,00","109,14M","-0,16%"
"22.05.2024","11.329,00","11.323,70","11.354,10","11.268,40","123,19M","-0,05%"
"21.05.2024","11.334,90","11.328,20","11.371,30","11.291,50","123,35M","-0,04%"
"20.05.2024","11.339,50","11.332,60","11.371,50","11.312,50","90,52M","0,10%"
"17.05.2024","11.327,70","11.256,00","11.343,00","11.246,60","143,70M","0,25%"
"16.05.2024","11.299,30","11.377,00","11.385,70","11.293,40","141,06M","-0,56%"
"15.05.2024","11.362,80","11.260,90","11.377,10","11.260,30","159,47M","1,10%"
"14.05.2024","11.239,30","11.179,30","11.246,30","11.138,40","137,10M","0,78%"
"13.05.2024","11.152,00","11.104,80","11.152,00","11.073,90","106,34M","0,42%"
"10.05.2024","11.105,50","11.045,70","11.137,70","11.045,10","155,65M","0,50%"
"09.05.2024","11.050,10","11.104,90","11.121,90","11.004,90","212,33M","-0,92%"
"08.05.2024","11.153,00","11.106,00","11.160,00","11.076,10","206,76M","0,65%"
"07.05.2024","11.080,90","10.971,30","11.089,80","10.958,00","206,44M","1,50%"
"06.05.2024","10.917,50","10.878,90","10.945,70","10.847,10","142,16M","0,58%"
"03.05.2024","10.854,70","10.904,90","10.953,30","10.820,50","204,83M","-0,16%"
"02.05.2024","10.872,00","10.854,30","10.920,10","10.845,80","254,70M","0,16%"
"30.04.2024","10.854,40","11.058,30","11.089,80","10.839,40","314,56M","-2,22%"
"29.04.2024","11.100,80","11.181,40","11.228,30","11.057,80","201,55M","-0,48%"
"26.04.2024","11.154,60","11.048,50","11.168,70","11.037,00","188,58M","1,56%"
"25.04.2024","10.983,70","11.048,30","11.095,00","10.887,40","306,29M","-0,40%"
"24.04.2024","11.027,80","11.104,30","11.110,00","11.005,00","138,50M","-0,43%"
"23.04.2024","11.075,40","10.929,40","11.080,00","10.924,30","156,01M","1,70%"
"22.04.2024","10.890,20","10.806,80","10.895,80","10.783,90","140,90M","1,50%"
"19.04.2024","10.729,50","10.681,20","10.747,10","10.611,90","204,55M","-0,33%"
"18.04.2024","10.765,00","10.695,00","10.776,30","10.686,20","164,34M","1,23%"
"17.04.2024","10.633,90","10.531,30","10.704,20","10.530,00","120,12M","1,02%"
"16.04.2024","10.526,90","10.561,40","10.605,50","10.499,20","169,50M","-1,50%"
"15.04.2024","10.687,20","10.670,70","10.750,20","10.660,20","144,07M","0,01%"
"12.04.2024","10.686,00","10.706,50","10.781,60","10.660,70","154,05M","0,34%"
"11.04.2024","10.649,80","10.762,60","10.782,60","10.591,40","183,04M","-1,16%"
"10.04.2024","10.775,00","10.868,20","10.879,20","10.697,40","149,23M","-0,38%"
"09.04.2024","10.816,00","10.909,00","10.909,10","10.809,50","139,50M","-0,88%"
"08.04.2024","10.911,80","10.863,10","10.932,30","10.846,00","125,83M","-0,04%"
"05.04.2024","10.916,00","10.964,30","11.000,20","10.879,90","198,55M","-1,58%"
"04.04.2024","11.090,90","11.045,30","11.111,20","11.042,00","167,47M","0,53%"
"03.04.2024","11.032,30","10.983,40","11.052,80","10.959,40","143,75M","0,52%"
"02.04.2024","10.975,60","11.037,40","11.095,50","10.953,90","157,05M","-0,89%"
"29.03.2024","11.074,60","11.071,00","11.105,60","11.057,40","182,53M","0,00%"
"28.03.2024","11.074,60","11.071,00","11.105,60","11.057,40","182,53M","-0,33%"
"27.03.2024","11.111,30","11.001,00","11.140,10","11.000,80","181,42M","1,09%"
"26.03.2024","10.991,50","10.962,10","11.008,50","10.950,20","139,64M","0,36%"
"25.03.2024","10.952,20","10.917,10","10.986,00","10.911,50","131,50M","0,08%"
"22.03.2024","10.943,20","10.857,30","10.963,90","10.846,70","170,40M","0,70%"
"21.03.2024","10.867,50","10.821,40","10.931,70","10.817,90","186,54M","1,07%"
"20.03.2024","10.752,50","10.700,60","10.752,50","10.680,30","142,72M","0,48%"
"19.03.2024","10.701,40","10.602,90","10.711,60","10.589,80","138,36M","0,99%"
"18.03.2024","10.596,70","10.602,90","10.657,00","10.576,60","145,58M","-0,01%"
"15.03.2024","10.597,90","10.491,90","10.640,80","10.489,70","487,58M","1,02%"
"14.03.2024","10.490,50","10.561,70","10.606,90","10.476,50","160,55M","-0,66%"
"13.03.2024","10.560,50","10.435,50","10.594,10","10.431,80","169,50M","1,65%"
"12.03.2024","10.388,90","10.355,90","10.403,20","10.342,90","185,34M","0,61%"
"11.03.2024","10.325,70","10.275,90","10.330,90","10.268,90","149,09M","0,19%"
"08.03.2024","10.305,70","10.330,60","10.366,90","10.304,20","168,06M","-0,13%"
"07.03.2024","10.319,60","10.167,10","10.359,20","10.164,80","202,03M","1,20%"
"06.03.2024","10.197,20","10.114,00","10.246,20","10.105,50","182,07M","0,79%"
"05.03.2024","10.117,10","10.060,50","10.121,70","10.032,10","132,43M","0,47%"
"04.03.2024","10.069,80","10.071,00","10.084,50","10.035,60","125,10M","0,05%"
"01.03.2024","10.064,70","10.014,50","10.108,00","10.008,80","172,08M","0,63%"
"29.02.2024","10.001,30","10.054,40","10.095,70","10.001,00","340,77M","-0,67%"
"28.02.2024","10.068,60","10.099,20","10.127,10","10.028,90","128,59M","-0,45%"
"27.02.2024","10.113,80","10.113,50","10.125,30","10.058,40","110,77M","-0,24%"
"26.02.2024","10.138,40","10.126,20","10.157,30","10.102,50","104,52M","0,08%"
"23.02.2024","10.130,60","10.123,50","10.136,70","10.064,30","108,88M","-0,08%"
"22.02.2024","10.138,90","10.174,90","10.196,40","10.120,90","155,63M","0,31%"
"21.02.2024","10.107,20","10.051,20","10.127,30","10.031,50","105,19M","0,69%"
"20.02.2024","10.038,20","9.941,70","10.048,30","9.926,50","118,74M","0,94%"
"19.02.2024","9.944,80","9.885,00","9.954,80","9.878,30","87,43M","0,59%"
"16.02.2024","9.886,40","9.977,40","9.978,40","9.841,60","126,33M","-0,41%"
"15.02.2024","9.927,30","9.955,00","9.963,90","9.861,20","113,53M","0,11%"
"14.02.2024","9.916,60","9.923,70","9.991,50","9.913,30","119,51M","-0,09%"
"13.02.2024","9.925,40","9.986,80","10.004,10","9.908,20","131,00M","-0,59%"
"12.02.2024","9.984,70","9.939,10","9.987,00","9.929,30","95,62M","0,89%"
"09.02.2024","9.896,60","9.907,30","9.921,40","9.857,40","153,14M","-0,09%"
"08.02.2024","9.905,40","9.913,10","9.952,40","9.899,40","110,77M","0,17%"
"07.02.2024","9.888,20","9.977,80","9.985,90","9.871,60","154,16M","-1,15%"
"06.02.2024","10.003,00","9.988,20","10.013,60","9.941,60","148,02M","0,62%"
"05.02.2024","9.941,30","10.047,40","10.083,10","9.928,60","187,04M","-1,20%"
"02.02.2024","10.062,50","10.087,60","10.132,80","10.033,70","161,36M","0,48%"
"01.02.2024","10.014,00","10.034,00","10.149,60","9.986,40","208,76M","-0,63%"
"31.01.2024","10.077,70","10.064,80","10.128,00","10.042,80","171,87M","0,38%"
"30.01.2024","10.039,30","9.906,50","10.050,70","9.888,40","139,74M","1,51%"
"29.01.2024","9.890,30","9.939,50","9.944,00","9.864,20","112,77M","-0,47%"
